,size,Group,Verse text
1Cor 2:9,1,6-10,"Ale jakož psáno jest: Čehož oko nevídalo, ani ucho neslýchalo, ani na srdce lidské nevstoupilo, co připravil Bůh těm, kteříž jej milují:"
Matt 19:18,1,20+,"Dí jemu: Kterých? Ježíš pak řekl: Nezabiješ, nezcizoložíš, nepokradeš, nepromluvíš křivého svědectví."
Rom 11:33,1,3-5,"Ó hlubokosti bohatství i moudrosti i umění Božího! Jak jsou nezpytatelní soudové jeho, a nevystižitelné cesty jeho."
1Cor 13:11,1,3-5,"Dokud jsem byl dítětem, mluvil jsem jako dítě, smýšlel jsem jako dítě, usuzoval jsem jako dítě; když jsem se stal mužem, překonal jsem dětský stupeň. "
Ps 118:24,1,6-10,"Tentoť jest den, kterýž učinil Hospodin, a protož radujme se a veselme se v něm."
Luke 7:14,1,3-5,"A přistoupil, a dotekl se már. (Ti pak kteříž nesli, zastavili se) A řekl: Mládenče, tobě-ť pravím vstaň."
Matt 14:3,1,3-5,"Herodes totiž jal Jana a spoutav jej dal ho do žaláře pro Herodiadu, manželku bratra svého;"
Luke 5:11,1,3-5,"A přirazivše (lodi) k zemi, opustili všecko a šli za ním."
Ps 110:10,1,3-5,Svaté jest a hrozné jeho jméno; počátek moudrosti je bázeň Páně.
Matt 22:16,1,3-5,"I poslali k němu učedlníky své s Herodiány, řkouce: Mistře, víme, že pravdomluvný jsi, a cestě Boží v pravdě učíš, a nedbáš na žádného; nebo nepatříš na osobu lidskou."
Isa 45:8,1,11-15,"Rosu dejte nebesa s hůry, a nejvyšší oblakové dštěte spravedlnost; otevři se země, a ať vzejde spasení, a spravedlnost ať spolu vykvete. Já Hospodin způsobím to."
Matt 18:17,1,6-10,"Pakliť by jich neuposlechl, pověz církvi. Jestliže pak i církve neuposlechne, budiž tobě jako pohan a publikán."
Matt 25:21,1,11-15,"Řekl mu Pán jeho: To dobře, služebníče dobrý a věrný: že si nad málem byl věrný, nad mnohem tebe ustanovím: vejdiž v radost Pána svého."
Matt 25:23,1,11-15,"Řekl mu Pán jeho: To dobře, služebníče dobrý a věrný: že si nad málem byl věrný, nad mnohem tebe ustanovím; vejdiž v radost Pána svého."
1Cor 8:6,1,3-5,"Ale my máme jediného Boha Otce, z něhož všecko, a my v něm, a jednoho Pána Ježíše Krista, skrze něhož všecko, i my skrze něho."
John 3:21,1,3-5,"Kdo však čini pravdu, jde ke světlu, aby skutkové jeho se zjevili, neboť v Bohu jsou vykonáni."
John 3:20,1,3-5,"Každý zajisté, kdož zle činí, nenávidí světla, a nejde k světlu, aby nebyli trestáni skutkové jeho."
